lga_name_2021_asgs, fid, sep_21, lga_code_2021_asgs, mar_21, jun_21, jun_20, dec_20, dec_19, jun_19, mar_19, sep_20, sep_19, mar_20
"Banyule (C)",133,3172,"20660",3819,3693,2607,3546,2299,2359,2532,3055,2357,2329
"Bass Coast (S)",134,1019,"20740",998,1069,695,966,583,599,771,773,571,606
"Baw Baw (S)",135,1126,"20830",1097,1176,767,1081,640,703,914,868,637,675
"Bayside (C)",136,2023,"20910",2771,2465,2065,2780,1633,1568,1579,2398,1624,1716
"Boroondara (C)",138,4876,"21110",5113,4907,3890,4539,3212,3085,3082,4037,3075,3456
"Brimbank (C)",139,9570,"21180",11421,10788,9987,11420,8965,8954,9112,10495,8901,9517
"Cardinia (S)",142,3954,"21450",4480,4038,4453,4494,3801,2994,2990,4407,3479,4096
"Casey (C)",143,13591,"21610",15419,13840,15219,15410,12770,10065,10053,15162,11641,13748
"Darebin (C)",147,6247,"21890",7245,7004,5335,6790,4778,4863,5072,6006,4809,4837
"Frankston (C)",149,4311,"22170",4875,4695,5061,4876,4824,4149,4127,4990,4474,4889
"Glen Eira (C)",151,3799,"22310",5014,4511,3646,4959,2872,2741,2705,4209,2875,3056
"Greater Dandenong (C)",155,7076,"22670",8044,7196,8608,8160,7762,6310,6453,8290,7179,8053
"Greater Geelong (C)",156,5169,"22750",6489,5888,5349,6608,6343,8627,8660,6282,7651,5384
"Hepburn (S)",158,344,"22910",478,448,250,449,216,222,241,346,226,182
"Hobsons Bay (C)",160,2700,"23110",3296,3082,2702,3231,2314,2314,2376,2931,2293,2476
"Hume (C)",162,12199,"23270",15099,13754,11127,14122,9424,8964,8453,12891,9007,10034
"Kingston (C) (Vic.)",164,4705,"23430",6065,5485,5135,6243,4384,4055,4062,5630,4284,4585
"Knox (C)",165,4091,"23670",5136,4599,3508,4915,2753,3154,3494,4180,2883,2871
"Macedon Ranges (S)",168,799,"24130",1080,942,762,1001,579,529,531,915,540,615
"Manningham (C)",169,4514,"24210",4648,4555,3636,4220,3017,2881,2942,3798,2842,3288
"Mansfield (S)",170,120,"24250",138,147,105,119,102,82,85,125,86,114
"Maribyrnong (C)",171,3579,"24330",4320,4041,3542,4253,2875,2805,2888,3855,2810,3189
"Maroondah (C)",172,3018,"24410",3804,3393,2807,3742,2324,2539,2698,3247,2392,2423
"Melbourne (C)",173,6151,"24600",6156,6202,4454,5526,4117,3899,3791,4876,3952,4037
"Melton (C)",174,6907,"24650",7957,7620,6858,7990,5721,5434,5293,7297,5559,6474
"Mitchell (S)",176,1362,"24850",1503,1562,1109,1352,994,885,933,1287,912,1116
"Monash (C)",178,3987,"24970",4846,4247,3957,4613,3138,2624,2715,4248,2933,3272
"Moonee Valley (C)",179,4111,"25060",4893,4539,3880,4643,3667,3465,3304,4214,3522,3577
"Moorabool (S)",180,1041,"25150",1243,1185,1032,1254,850,839,867,1133,831,942
"Moreland (C)",181,7300,"25250",8852,8145,6611,8277,5904,5792,5663,7431,5735,5848
"Mornington Peninsula (S)",182,3282,"25340",4036,3726,3873,4003,3502,3036,3045,3981,3265,3559
"Mount Alexander (S)",183,353,"25430",427,396,374,414,274,252,300,408,260,319
"Murrindindi (S)",185,329,"25620",369,387,274,327,253,214,221,322,223,280
"Nillumbik (S)",186,1122,"25710",1421,1350,866,1296,705,742,806,1086,733,724
"Port Phillip (C)",188,4120,"25900",4822,4532,3939,4618,3693,3508,3403,4205,3548,3609
"Queenscliffe (B)",190,28,"26080",43,36,26,41,null,null,null,36,null,21
"South Gippsland (S)",191,546,"26170",554,585,383,542,320,353,458,433,323,334
"Stonnington (C)",193,2878,"26350",3646,3306,2492,3440,2016,1933,1873,2951,1959,2014
"Surf Coast (S)",195,392,"26490",581,498,336,548,294,389,385,469,347,259
"Whitehorse (C)",202,5877,"26980",5873,5827,4904,5487,4331,4319,4378,5015,4194,4669
"Whittlesea (C)",203,8911,"27070",10096,10047,6842,9272,5999,6176,6500,7991,6118,6335
"Wyndham (C)",205,9979,"27260",11792,11210,9406,11554,7655,7465,7463,10342,7496,8604
"Yarra (C)",206,4195,"27350",4931,4590,4353,4843,4159,3813,3687,4535,3925,4064
"Yarra Ranges (S)",207,4080,"27450",5223,4639,3679,5077,2939,3371,3754,4346,3075,3052
"Unincorporated Vic",209,16,"29399",19,20,12,17,null,null,null,16,null,13
